cell,seed,run,w_vic,feat,probe,spearman,pearson,ap,mae
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pca2,knn,0.8535372883113285,0.8513534255613995,0.17802803492058125,0.3347096954214593
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pca2,ridge,0.8635806118253995,0.8353016248070092,0.19021928078850361,0.3586185697523835
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pca32,knn,0.8624579169965375,0.8605868443248127,0.20870185206773256,0.32392128719548025
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pca32,ridge,0.8773946373945218,0.873085103072621,0.2633111688707325,0.30726697648840035
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pca4,knn,0.8615415676939957,0.8592263707373622,0.18889469919143725,0.32535767885570366
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pca4,ridge,0.8598530161013729,0.8539681064959924,0.21531694292593717,0.3325088868802903
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pca8,knn,0.8618802232363654,0.859927386567405,0.19152971458029397,0.32577668769195633
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pca8,ridge,0.8674125287586429,0.8628843258856157,0.23095294008945488,0.32219025604876717
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pred1,knn,0.8343200265264236,0.8248123422320086,0.11056490850144803,0.3650831466150675
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pred1,ridge,0.8785116732508298,0.8701432313916869,0.2639492501691263,0.3094413586668107
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,emb32,knn,0.8570277317927748,0.855669098811052,0.16325749241570794,0.3297893062446366
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,emb32,ridge,0.8744001016502863,0.8709314887761859,0.2429869117614459,0.3104893387600695
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pca1,knn,0.7137345100420083,0.7021509234880918,0.0418691381326458,0.4779997527545974
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pca1,ridge,0.7867572575295914,0.7003465583005358,0.10186784684702224,0.48485158771098186
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pca16,knn,0.8507712445859197,0.8503980208577628,0.13240418035212653,0.33622723485739947
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pca16,ridge,0.8579137018285463,0.8567120835881552,0.22673325527755395,0.33026634936992016
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pca2,knn,0.8183424390095926,0.824091094688919,0.11288646409465307,0.3709609269010029
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pca2,ridge,0.8284064720702673,0.8169927345935815,0.1508109650825046,0.3781081695718547
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pca32,knn,0.8570285436558444,0.8556684063937623,0.16371206242430164,0.3297907826150804
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pca32,ridge,0.8744001016502863,0.8709314887761856,0.2429869117614459,0.31048933876006957
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pca4,knn,0.848285958109327,0.8489321544360344,0.18150578821487232,0.3404652663691726
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pca4,ridge,0.8525039336237182,0.8469519545463358,0.21204372787705708,0.3423604465752006
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pca8,knn,0.8514185245795103,0.8514801443951254,0.15842371891800244,0.33682119715397674
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pca8,ridge,0.8538885793800011,0.8501810853361897,0.221564758919507,0.3389115973110422
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pred1,knn,0.8328219127965184,0.8242652507704928,0.1120132513795834,0.3635874482868583
E_w10,0,outputs/rank_v1/E_w10/fold0_seed0,10.0,pred1,ridge,0.875663500204096,0.8683336795560164,0.24315265368644384,0.3122255052334305
E_w10,1,outputs/rank_v1/E_w10/fold0_seed1,10.0,emb32,knn,0.8547887301387855,0.8552676678046659,0.18558004672398543,0.3311155972954879
E_w10,1,outputs/rank_v1/E_w10/fold0_seed1,10.0,emb32,ridge,0.877037506965791,0.873459928211076,0.2649841262043567,0.30792553357316055
E_w10,1,outputs/rank_v1/E_w10/fold0_seed1,10.0,pca1,knn,0.7263113341710514,0.7123581175065506,0.05078470013020546,0.4652516968277831
